,city,cloudiness,country,date,humidity,lat,long,max temp,wind speed
344,radom,0,PL,1588465989,84,51.4,21.15,48.99,5.01
345,fukagawa,75,JP,1588465989,63,43.71,142.04,66.2,2.24
346,cockburn town,6,TC,1588465683,82,21.46,-71.14,80.33,13.62
347,shuangcheng,75,CN,1588465989,75,45.35,126.28,48.0,20.13
348,faanui,58,PF,1588465541,78,-16.48,-151.75,82.22,16.55
349,ixtapa,5,MX,1588465506,78,20.7,-105.2,80.6,13.87
350,frontera,29,MX,1588465748,21,26.93,-101.45,96.01,4.0
351,forbes,57,AU,1588465990,81,-33.38,148.02,51.01,1.99
352,tabas,25,IR,1588465990,37,33.6,56.92,69.8,4.7
353,yar-sale,100,RU,1588465564,97,66.83,70.83,23.13,8.88
354,taganak,20,PH,1588465990,79,6.08,118.3,84.2,3.36
355,challans,100,FR,1588465991,91,46.84,-1.87,57.99,3.0
356,novopavlovka,81,RU,1588465991,46,51.22,109.21,47.73,5.75
357,kathu,40,TH,1588465991,94,7.92,98.33,78.8,4.7
358,kalmunai,21,LK,1588465548,81,7.42,81.82,81.18,2.48
359,phalodi,8,IN,1588465991,39,27.13,72.37,86.2,11.01
360,mutsu,75,JP,1588465991,82,41.29,141.22,75.2,8.05
361,udachnyy,57,RU,1588465519,49,66.42,112.4,26.6,4.47
362,ahome,20,MX,1588465540,17,25.92,-109.18,90.0,10.29
363,axim,36,GH,1588465868,88,4.87,-2.24,80.96,5.84
364,zlobin,14,HR,1588465992,90,45.29,14.65,55.0,1.99
365,bengkulu,96,ID,1588465513,87,-3.8,102.27,76.75,7.52
366,kirkwall,15,GB,1588465864,86,58.98,-2.96,37.4,3.36
367,konstantinovka,100,RU,1588465993,53,49.62,127.98,42.35,13.15
368,faya,26,SA,1588465529,87,18.39,42.45,60.8,3.27
369,cayenne,90,GF,1588465529,94,4.93,-52.33,77.0,10.0
370,coos bay,20,US,1588465696,76,43.37,-124.22,55.4,10.29
371,gobabis,0,NA,1588465885,19,-22.45,18.97,59.58,7.92
372,ganzhou,0,CN,1588465994,61,28.82,115.43,82.63,4.05
373,sal rei,75,CV,1588465994,88,16.18,-22.92,71.6,16.11
374,pandan,100,PH,1588465994,73,14.05,124.17,85.62,11.92
375,solnechnyy,0,RU,1588465556,41,50.72,136.63,47.64,8.25
376,bambanglipuro,100,ID,1588465994,74,-7.95,110.28,81.5,5.28
377,chara,58,RU,1588465995,57,56.91,118.26,31.42,2.48
378,assiniboia,34,CA,1588465995,23,49.63,-105.98,63.34,5.3
379,la libertad,87,EC,1588465995,78,-2.23,-80.9,78.8,9.17
380,conde,75,BR,1588465881,94,-7.26,-34.91,77.0,3.36
381,sindor,2,RU,1588465995,97,62.86,51.89,24.46,3.87
382,pokrovka,100,KG,1588465995,32,42.34,78.01,51.28,3.29
383,ponta delgada,20,PT,1588465995,82,37.73,-25.67,55.4,4.7
384,santa rosa,75,PH,1588465540,66,14.31,121.11,87.01,2.24
385,lumsden,20,CA,1588465996,27,50.65,-104.87,62.6,13.87
